0.000000	-2.000000	1.000000	-nan	-nan	1.000000	1.000000
4.400000	-0.496347	0.011568	0.128835	0.280126	0.000209	0.000000
4.450000	-0.490327	0.011290	0.123522	0.260401	0.000198	0.000000
4.500000	-0.483826	0.011561	0.127866	0.297138	0.000215	0.000000
4.550000	-0.477620	0.011610	0.124606	0.264057	0.000208	0.000000
4.600000	-0.471046	0.011523	0.120899	0.282510	0.000212	0.000000
4.650000	-0.466127	0.011173	0.124663	0.248716	0.000195	0.000000
4.700000	-0.459417	0.010820	0.115862	0.236898	0.000185	0.000000
4.750000	-0.454272	0.010650	0.105697	0.230772	0.000180	0.000000
4.800000	-0.448397	0.011021	0.102491	0.231373	0.000189	0.000000
4.850000	-0.443762	0.010572	0.110944	0.218889	0.000177	0.000000
4.900000	-0.438099	0.010524	0.097642	0.210886	0.000174	0.000000
4.950000	-0.433682	0.010978	0.096093	0.228490	0.000190	0.000000
