0.000000	-2.000000	1.000000	-nan	-nan	1.000000	1.000000
0.050000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.100000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.150000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.200000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.250000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.300000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.350000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.400000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.450000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.500000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.550000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.600000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.650000	-1.999945	0.999986	0.001028	0.000042	0.999973	0.999945
0.700000	-1.999859	0.999965	0.002255	0.000099	0.999930	0.999860
0.750000	-1.999859	0.999965	0.001964	0.000092	0.999930	0.999860
0.800000	-1.999633	0.999908	0.004374	0.000219	0.999817	0.999634
0.850000	-1.999242	0.999807	0.008702	0.000493	0.999614	0.999229
0.900000	-1.998699	0.999672	0.013042	0.000754	0.999345	0.998692
0.950000	-1.998188	0.999545	0.016598	0.000998	0.999091	0.998186
1.000000	-1.997184	0.999283	0.022643	0.001501	0.998568	0.997145
1.050000	-1.995539	0.998854	0.035684	0.002658	0.997711	0.995438
1.100000	-1.993922	0.998445	0.038234	0.002864	0.996896	0.993814
1.150000	-1.991688	0.997861	0.048389	0.003859	0.995732	0.991499
1.200000	-1.988863	0.997082	0.063702	0.005605	0.994179	0.988418
1.250000	-1.985039	0.996053	0.085311	0.008114	0.992131	0.984363
1.300000	-1.980555	0.994855	0.096852	0.009597	0.989750	0.979652
1.350000	-1.975418	0.993412	0.118614	0.013264	0.986885	0.974011
1.400000	-1.968496	0.991527	0.128769	0.014570	0.983146	0.966655
1.450000	-1.961434	0.989486	0.166965	0.020755	0.979113	0.958776
1.500000	-1.951965	0.986740	0.182714	0.024923	0.973693	0.948219
1.550000	-1.940676	0.983443	0.220292	0.032504	0.967210	0.935685
1.600000	-1.929059	0.979754	0.253815	0.041836	0.959983	0.921817
1.650000	-1.913648	0.975125	0.300406	0.053571	0.950955	0.904641
1.700000	-1.898352	0.970006	0.333042	0.068822	0.941026	0.885955
1.750000	-1.880484	0.964268	0.405290	0.090884	0.929967	0.865411
1.800000	-1.858219	0.956525	0.432187	0.107895	0.915130	0.838152
1.850000	-1.838062	0.949146	0.501050	0.152474	0.901155	0.813054
