0.000000	-2.000000	1.000000	-nan	-nan	1.000000	1.000000
0.050000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.100000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.150000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.200000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.250000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.300000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.350000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.400000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.450000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.500000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.550000	-1.999998	1.000000	0.000052	0.000002	0.999999	0.999998
0.600000	-1.999992	0.999998	0.000173	0.000006	0.999996	0.999992
0.650000	-1.999977	0.999994	0.000438	0.000018	0.999988	0.999977
0.700000	-1.999912	0.999978	0.001625	0.000071	0.999956	0.999912
0.750000	-1.999819	0.999955	0.002408	0.000115	0.999909	0.999818
0.800000	-1.999682	0.999919	0.004149	0.000220	0.999838	0.999676
0.850000	-1.999339	0.999833	0.007649	0.000414	0.999667	0.999335
0.900000	-1.998833	0.999707	0.011511	0.000664	0.999413	0.998828
0.950000	-1.998141	0.999524	0.017299	0.001110	0.999049	0.998101
1.000000	-1.997110	0.999261	0.022130	0.001512	0.998523	0.997050
1.050000	-1.995691	0.998895	0.034177	0.002482	0.997791	0.995589
1.100000	-1.994027	0.998459	0.042267	0.003307	0.996922	0.993857
1.150000	-1.991713	0.997854	0.053491	0.004361	0.995714	0.991451
1.200000	-1.988650	0.997040	0.065303	0.005766	0.994090	0.988221
1.250000	-1.984753	0.995984	0.076773	0.007340	0.991987	0.984047
1.300000	-1.980138	0.994731	0.098660	0.010037	0.989494	0.979111
1.350000	-1.974591	0.993229	0.122969	0.013081	0.986508	0.973215
1.400000	-1.968006	0.991367	0.137594	0.015980	0.982814	0.965946
1.450000	-1.960457	0.989220	0.172417	0.021737	0.978564	0.957618
1.500000	-1.951080	0.986492	0.188703	0.026333	0.973176	0.947108
1.550000	-1.939916	0.983158	0.226072	0.034437	0.966613	0.934391
1.600000	-1.928053	0.979597	0.263009	0.043892	0.959628	0.920951
1.650000	-1.915089	0.975511	0.296107	0.052410	0.951642	0.905703
1.700000	-1.898271	0.970034	0.357577	0.076147	0.940998	0.885596
1.750000	-1.880123	0.964051	0.390385	0.089922	0.929432	0.863987
1.800000	-1.860059	0.957102	0.478214	0.127457	0.916099	0.839443
1.850000	-1.835562	0.948286	0.508643	0.153719	0.899315	0.809016
