0.000000	-2.000000	1.000000	-nan	-nan	1.000000	1.000000
1.900000	-1.809575	0.938773	0.581102	0.193461	0.881385	0.777155
1.950000	-1.781346	0.926904	0.670351	0.286494	0.859288	0.738843
2.000000	-1.745722	0.911392	0.741808	0.391142	0.830827	0.690902
2.050000	-1.707994	0.893591	0.815684	0.546459	0.798779	0.638912
2.100000	-1.663172	0.869103	0.979154	0.958089	0.755831	0.572733
2.150000	-1.612471	0.838826	1.074959	1.461948	0.704397	0.498277
2.200000	-1.547450	0.786410	1.409026	4.208511	0.620701	0.390413
2.250000	-1.460585	0.670283	1.822102	27.272694	0.464260	0.233206
2.300000	-1.354169	0.422065	2.055514	73.147270	0.219213	0.072968
2.350000	-1.263567	0.235280	1.387251	42.609062	0.079803	0.014187
2.400000	-1.205054	0.162901	1.103197	22.379177	0.039650	0.004015
2.450000	-1.152015	0.129416	0.986700	14.894551	0.025658	0.001750
2.500000	-1.108132	0.098006	0.916587	8.719449	0.014927	0.000628
2.550000	-1.065755	0.089292	0.793373	6.874451	0.012253	0.000415
2.600000	-1.028694	0.074902	0.721690	5.176047	0.008896	0.000247
2.650000	-0.993906	0.070262	0.670113	4.720339	0.007991	0.000209
2.700000	-0.963407	0.055706	0.577964	2.872398	0.004997	0.000078
2.750000	-0.934712	0.056409	0.567781	2.620878	0.004942	0.000071
2.800000	-0.908706	0.052808	0.541188	2.395588	0.004426	0.000063
2.850000	-0.882966	0.049117	0.480009	1.981329	0.003791	0.000043
2.900000	-0.859852	0.046775	0.437077	1.701616	0.003393	0.000035
2.950000	-0.837502	0.046575	0.415926	1.574333	0.003303	0.000030
3.000000	-0.817686	0.042088	0.413295	1.375876	0.002779	0.000022
3.050000	-0.797269	0.039785	0.377298	1.213156	0.002486	0.000018
3.100000	-0.780397	0.040519	0.362569	1.211924	0.002559	0.000019
3.150000	-0.759790	0.037133	0.351668	0.999650	0.002148	0.000013
3.200000	-0.745027	0.037240	0.329122	0.968589	0.002144	0.000013
3.250000	-0.728908	0.035595	0.306791	0.866300	0.001954	0.000011
3.300000	-0.715540	0.034116	0.305867	0.864257	0.001860	0.000011
3.350000	-0.699611	0.033593	0.286124	0.797502	0.001781	0.000010
3.400000	-0.686601	0.031388	0.276118	0.673547	0.001544	0.000007
3.450000	-0.673562	0.030958	0.235507	0.728170	0.001572	0.000009
3.500000	-0.658918	0.030953	0.251835	0.662868	0.001525	0.000007
3.550000	-0.647295	0.030967	0.241395	0.593979	0.001474	0.000006
3.600000	-0.637432	0.029814	0.208111	0.536206	0.001360	0.000005
3.650000	-0.626544	0.027491	0.213056	0.514970	0.001215	0.000005
3.700000	-0.614880	0.029208	0.216884	0.511857	0.001315	0.000005
3.750000	-0.603276	0.027054	0.201431	0.462513	0.001155	0.000004
3.800000	-0.595388	0.026760	0.202329	0.434245	0.001119	0.000004
3.850000	-0.584943	0.026676	0.201931	0.431805	0.001117	0.000004
3.900000	-0.575532	0.026227	0.180865	0.419063	0.001087	0.000004
3.950000	-0.564480	0.026058	0.168401	0.412154	0.001076	0.000004
4.000000	-0.556016	0.025911	0.169639	0.375345	0.001038	0.000003
4.050000	-0.549130	0.025306	0.166528	0.363320	0.001000	0.000003
4.100000	-0.540066	0.025099	0.151017	0.344744	0.000975	0.000003
4.150000	-0.532213	0.024115	0.149921	0.361375	0.000948	0.000003
4.200000	-0.525286	0.023860	0.150078	0.318023	0.000895	0.000002
4.250000	-0.517680	0.023935	0.142692	0.305907	0.000890	0.000002
4.300000	-0.509914	0.024111	0.144677	0.292624	0.000889	0.000002
4.350000	-0.504534	0.023356	0.137254	0.305905	0.000870	0.000002
4.400000	-0.497227	0.023689	0.134209	0.278927	0.000861	0.000002
4.450000	-0.489771	0.022704	0.134086	0.263190	0.000801	0.000002
4.500000	-0.484295	0.023406	0.130149	0.298183	0.000875	0.000002
4.550000	-0.477428	0.021650	0.127404	0.239634	0.000735	0.000002
4.600000	-0.470501	0.022882	0.121233	0.257748	0.000813	0.000002
4.650000	-0.465497	0.022196	0.122983	0.254829	0.000782	0.000002
4.700000	-0.459293	0.022485	0.107131	0.247840	0.000790	0.000002
4.750000	-0.454962	0.022564	0.118097	0.250304	0.000799	0.000002
4.800000	-0.449334	0.022073	0.110007	0.234479	0.000762	0.000002
4.850000	-0.442950	0.020933	0.104865	0.210739	0.000688	0.000002
4.900000	-0.438684	0.021548	0.112157	0.213232	0.000719	0.000002
4.950000	-0.433645	0.021551	0.097649	0.220348	0.000731	0.000002
