1.909200	-1.804253	0.936233	0.574435	0.209219	0.876556	0.768436
1.911700	-1.802837	0.935670	0.578920	0.212751	0.875503	0.766592
1.914200	-1.801405	0.935108	0.583178	0.215714	0.874453	0.764756
1.916700	-1.799913	0.934512	0.587618	0.219804	0.873339	0.762810
1.919200	-1.798418	0.933910	0.591192	0.222458	0.872214	0.760848
1.921700	-1.796958	0.933322	0.594003	0.226591	0.871116	0.758936
1.924200	-1.795515	0.932742	0.596046	0.228867	0.870035	0.757054
1.926700	-1.793990	0.932118	0.599404	0.232701	0.868872	0.755033
1.929200	-1.792451	0.931488	0.603587	0.236600	0.867698	0.752996
1.931700	-1.790964	0.930884	0.607263	0.240281	0.866574	0.751048
1.934200	-1.789409	0.930241	0.612559	0.245334	0.865378	0.748979
1.936700	-1.787872	0.929615	0.616653	0.248769	0.864213	0.746966
1.939200	-1.786354	0.928994	0.619693	0.252391	0.863060	0.744976
1.941700	-1.784793	0.928342	0.625521	0.257501	0.861849	0.742889
1.944200	-1.783214	0.927699	0.627876	0.260767	0.860656	0.740835
1.946700	-1.781658	0.927040	0.631328	0.265068	0.859436	0.738738
1.949200	-1.780073	0.926381	0.635137	0.269343	0.858214	0.736641
1.951700	-1.778455	0.925693	0.640681	0.274960	0.856941	0.734459
1.954200	-1.776829	0.925011	0.646983	0.280312	0.855679	0.732300
1.956700	-1.775276	0.924352	0.646288	0.282594	0.854460	0.730218
1.959200	-1.773663	0.923684	0.652024	0.287385	0.853227	0.728113
1.961700	-1.772005	0.922973	0.657496	0.293325	0.851914	0.725877
1.964200	-1.770363	0.922269	0.661446	0.297442	0.850615	0.723667
1.966700	-1.768691	0.921545	0.664629	0.303365	0.849282	0.721403
1.969200	-1.767022	0.920828	0.670967	0.309279	0.847961	0.719163
1.971700	-1.765318	0.920097	0.672675	0.312996	0.846617	0.716887
1.974200	-1.763666	0.919367	0.678886	0.320068	0.845275	0.714620
1.976700	-1.761941	0.918610	0.681317	0.325689	0.843883	0.712271
1.979200	-1.760212	0.917874	0.685182	0.330701	0.842533	0.709996
1.981700	-1.758507	0.917105	0.689676	0.337816	0.841123	0.707625
1.984200	-1.756733	0.916319	0.696692	0.344852	0.839682	0.705206
1.986700	-1.755004	0.915560	0.701807	0.350298	0.838292	0.702876
1.989200	-1.753257	0.914789	0.704656	0.355993	0.836881	0.700515
1.991700	-1.751489	0.913990	0.709260	0.362950	0.835421	0.698076
1.994200	-1.749773	0.913230	0.714283	0.367983	0.834033	0.695761
1.996700	-1.747917	0.912394	0.718692	0.374865	0.832509	0.693222
1.999200	-1.746153	0.911589	0.723471	0.383377	0.831042	0.690786
2.001700	-1.744332	0.910743	0.727157	0.390789	0.829500	0.688228
2.004200	-1.742508	0.909924	0.734045	0.398650	0.828010	0.685762
2.006700	-1.740699	0.909111	0.737619	0.404725	0.826533	0.683320
2.009200	-1.738728	0.908169	0.742337	0.414264	0.824821	0.680497
2.011700	-1.736903	0.907325	0.748400	0.423527	0.823291	0.677979
2.014200	-1.735040	0.906452	0.753183	0.430874	0.821708	0.675378
2.016700	-1.733179	0.905608	0.761251	0.439703	0.820180	0.672872
2.019200	-1.731281	0.904701	0.765034	0.448738	0.818539	0.670186
2.021700	-1.729400	0.903830	0.766689	0.453032	0.816964	0.667613
2.024200	-1.727417	0.902874	0.774665	0.466530	0.815240	0.664803
2.026700	-1.725481	0.901932	0.778171	0.477103	0.813541	0.662040
2.029200	-1.723550	0.901004	0.784051	0.486702	0.811869	0.659326
2.031700	-1.721621	0.900107	0.788107	0.492691	0.810253	0.656707
2.034200	-1.719612	0.899132	0.793980	0.504285	0.808501	0.653876
2.036700	-1.717576	0.898135	0.800136	0.516810	0.806711	0.650989
2.039200	-1.715627	0.897160	0.803522	0.527054	0.804962	0.648174
2.041700	-1.713534	0.896140	0.811081	0.540755	0.803134	0.645240
2.044200	-1.711570	0.895181	0.816669	0.550252	0.801418	0.642490
2.046700	-1.709479	0.894112	0.821090	0.562567	0.799506	0.639434
2.049200	-1.707405	0.893080	0.828803	0.576156	0.797665	0.636498
2.051700	-1.705372	0.892068	0.830703	0.585481	0.795859	0.633624
2.054200	-1.703302	0.891032	0.843010	0.604084	0.794015	0.630699
2.056700	-1.701197	0.889948	0.846477	0.615517	0.792085	0.627642
2.059200	-1.698986	0.888808	0.852670	0.629019	0.790059	0.624443
2.061700	-1.696875	0.887721	0.854512	0.639471	0.788129	0.621401
2.064200	-1.694752	0.886629	0.865730	0.658724	0.786194	0.618361
2.066700	-1.692588	0.885509	0.872717	0.673881	0.784212	0.615253
2.069200	-1.690361	0.884322	0.876907	0.690584	0.782113	0.611973
2.071700	-1.688203	0.883197	0.879308	0.700436	0.780125	0.608871
2.074200	-1.685999	0.882034	0.891170	0.722098	0.778076	0.605686
2.076700	-1.683711	0.880736	0.894100	0.746173	0.775791	0.602144
2.079200	-1.681465	0.879548	0.903753	0.764980	0.773701	0.598912
2.081700	-1.679201	0.878312	0.911850	0.786460	0.771533	0.595569
2.084200	-1.676911	0.877078	0.918421	0.805747	0.769369	0.592242
2.086700	-1.674627	0.875815	0.926625	0.828103	0.767157	0.588853
2.089200	-1.672315	0.874551	0.932295	0.842231	0.764947	0.585471
2.091700	-1.669944	0.873241	0.939465	0.865601	0.762660	0.581986
2.094200	-1.667577	0.871851	0.945844	0.891019	0.760239	0.578307
2.096700	-1.665245	0.870543	0.953056	0.917858	0.757963	0.574862
2.099200	-1.662841	0.869165	0.962676	0.950177	0.755570	0.571252
